"","refseq_peptide","ensembl_gene_id","ensembl_transcript_id","external_gene_name","refseq_peptide_predicted","protein_external_id","preferred_name","protein_size","annotation"
"2117","","ENSCING00000013118","ENSCINT00000024427","","XP_002128910","7719.XP_002128910.1","XP_002128910.1",147,"Histone H3.3-like isoform X1"
"2118","","ENSCING00000007290","ENSCINT00000014963","","XP_002128915","7719.XP_002128915.1","XP_002128915.1",394,"cAMP-dependent protein kinase type II regulatory subunit-like isoform X1"
"2119","","ENSCING00000001591","ENSCINT00000003182","","XP_002128918","7719.XP_002128918.1","XP_002128918.1",270,"Isochorismatase domain-containing protein 1-like"
"2120","","ENSCING00000009079","ENSCINT00000018430","","XP_002128921","7719.XP_002128921.1","XP_002128921.1",207,"Uncharacterized protein LOC100176714"
"2121","","ENSCING00000003131","ENSCINT00000006335","","XP_002128923","7719.XP_002128923.1","Cin.36927",359,"ATP-dependent (S)-NAD(P)H-hydrate dehydratase; Catalyzes the dehydration of the S-form of NAD(P)HX at the expense of ATP, which is converted to ADP. Together with NAD(P)HX epimerase, which catalyzes the epimerization of the S- and R-forms, the enzyme allows the repair of both epimers of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration; Belongs to the NnrD/CARKD family"
"2122","","ENSCING00000008034","ENSCINT00000016436","","XP_002128925","7719.XP_002128925.1","XP_002128925.1",173,"E3 ubiquitin-protein ligase XIAP-like"
"2123","","ENSCING00000007666","ENSCINT00000015708","","XP_002128930","7719.XP_002128930.1","XP_002128930.1",195,"Mammalian ependymin-related protein 1-like"
"2124","","ENSCING00000011538","ENSCINT00000022241","","XP_002128932","7719.XP_002128932.1","XP_002128932.1",125,"60S ribosomal protein L31"
"2125","","ENSCING00000013012","ENSCINT00000024297","","XP_002128935","7719.XP_002128935.1","XP_002128935.1",430,"Adipocyte plasma membrane-associated protein-like"
"2126","","ENSCING00000002271","ENSCINT00000004636","","XP_002128938","7719.XP_002128938.1","XP_002128938.1",443,"Uncharacterized protein LOC100187136 isoform X2; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 40 ESTs, and 96% coverage of the annotated genomic feature by RNAseq alignments"
"2127","","ENSCING00000016089","ENSCINT00000028322","","XP_002128940","7719.XP_002128940.1","XP_002128940.1",290,"Uncharacterized protein LOC100184019 isoform X1; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 8 ESTs, and 98% coverage of the annotated genomic feature by RNAseq alignments, including 2 samples with support for all annotated introns"
"2128","","ENSCING00000023370","ENSCINT00000031800","","XP_002128941","7719.XP_002128941.1","XP_002128941.1",140,"Uncharacterized protein LOC100180055"
"2129","","ENSCING00000007335","ENSCINT00000015054","","XP_002128942","7719.XP_002128942.1","XP_002128942.1",271,"Uncharacterized protein LOC100185212"
"2130","","ENSCING00000016045","ENSCINT00000028272","","XP_002128943","7719.XP_002128943.1","ci-prd-a",263,"Visual system homeobox 1"
"2131","","ENSCING00000007877","ENSCINT00000016136","","XP_002128944","7719.XP_002128944.1","XP_002128944.1",704,"Dymeclin-like"
"2132","","ENSCING00000015661","ENSCINT00000027848","","XP_002128949","7719.XP_002128949.1","XP_002128949.1",159,"Uncharacterized protein LOC100186803"
"2133","","ENSCING00000006223","ENSCINT00000012831","","XP_002128950","7719.XP_002128950.1","XP_002128950.1",289,"Aquaporin-like; Belongs to the MIP/aquaporin (TC 1.A.8) family"
"2134","","ENSCING00000003066","ENSCINT00000006227","","XP_002128951","7719.XP_002128951.1","XP_002128951.1",232,"Uncharacterized protein LOC100178500"
"2135","","ENSCING00000008158","ENSCINT00000016664","","XP_002128952","7719.XP_002128952.1","XP_002128952.1",464,"Ectonucleoside triphosphate diphosphohydrolase 5; Belongs to the GDA1/CD39 NTPase family"
"2136","","ENSCING00000010224","ENSCINT00000004686","","XP_002128955","7719.XP_002128955.1","XP_002128955.1",150,"Frizzled-1-like"
"2137","","ENSCING00000009965","ENSCINT00000020085","","XP_002128957","7719.XP_002128957.1","XP_002128957.1",354,"Uncharacterized protein LOC100179159"
"2138","","ENSCING00000006229","ENSCINT00000012838","","XP_002128959","7719.XP_002128959.1","XP_002128959.1",447,"Neuropeptides B/W receptor type 2-like; Kappa-type opioid receptor-like; Belongs to the G-protein coupled receptor 1 family"
"2139","","ENSCING00000018345","ENSCINT00000030405","","XP_002128961","7719.XP_002128961.1","XP_002128961.1",142,"Multiple epidermal growth factor-like domains protein 10; Scavenger receptor class F member 1"
"2140","","ENSCING00000008797","ENSCINT00000017918","","XP_002128962","7719.XP_002128962.1","XP_002128962.1",380,"Actin, cytoplasmic-like; Belongs to the actin family"
"2141","","ENSCING00000007667","ENSCINT00000015709","","XP_002128965","7719.XP_002128965.1","XP_002128965.1",306,"Ubiquitin-conjugating enzyme E2 J1-like; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 22 ESTs, 10 Proteins, and 100% coverage of the annotated genomic feature by RNAseq alignments, including 10 samples with support for all annotated introns; Belongs to the ubiquitin-conjugating enzyme family"
"2142","","ENSCING00000016095","ENSCINT00000028331","","XP_002128968","7719.XP_002128968.1","XP_002128968.1",143,"Cationic trypsin-like"
"2143","","ENSCING00000002377","ENSCINT00000004844","","XP_002128971","7719.XP_002128971.1","XP_002128971.1",631,"N-acetylgalactosaminyltransferase 7-like"
"2144","","ENSCING00000009741","ENSCINT00000019778","","XP_002128975","7719.XP_002128975.1","XP_002128975.1",378,"Organic solute transporter subunit alpha-like"
"2145","","ENSCING00000011380","ENSCINT00000006346","","XP_002128977","7719.XP_002128977.1","XP_002128977.1",332,"Uncharacterized protein LOC100179330"
"2146","","ENSCING00000020192","ENSCINT00000034073","","XP_002128986","7719.XP_002128986.1","XP_002128986.1",193,"Uncharacterized protein LOC100181456"
"2147","","ENSCING00000014515","ENSCINT00000012001","","XP_002128989","7719.XP_002128989.1","XP_002128989.1",135,"Transmembrane protein 203-like"
"2148","","ENSCING00000007871","ENSCINT00000016129","","XP_002128994","7719.XP_002128994.1","XP_002128994.1",127,"Tctex1 domain-containing protein 2-like"
"2149","","ENSCING00000009617","ENSCINT00000019546","","XP_002128995","7719.XP_002128995.1","XP_002128995.1",737,"Gelsolin"
"2150","","ENSCING00000003824","ENSCINT00000007882","","XP_002129000","7719.XP_002129000.1","XP_002129000.1",502,"Solute carrier family 22 member 15-like; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 1 mRNA, 16 ESTs, and 97% coverage of the annotated genomic feature by RNAseq alignments"
"2151","","ENSCING00000017505","ENSCINT00000029825","","XP_002129003","7719.XP_002129003.2","XP_002129003.2",109,"Uncharacterized protein LOC100178548"
"2152","","ENSCING00000006455","ENSCINT00000013281","","XP_002129004","7719.XP_002129004.1","XP_002129004.1",935,"Protein NRDE2 homolog"
"2153","","ENSCING00000013257","ENSCINT00000024665","","XP_002129005","7719.XP_002129005.1","XP_002129005.1",731,"Transmembrane protein 232-like"
"2154","","ENSCING00000013777","ENSCINT00000008926","","XP_002129015","7719.XP_002129015.1","XP_002129015.1",198,"Uncharacterized protein LOC100176523; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 94 ESTs, and 100% coverage of the annotated genomic feature by RNAseq alignments, including 13 samples with support for all annotated introns"
"2155","","ENSCING00000007171","ENSCINT00000014710","","XP_002129025","7719.XP_002129025.1","XP_002129025.1",237,"C-type lectin mannose-binding isoform-like; Mannose-binding protein C-like"
"2156","","ENSCING00000004394","ENSCINT00000009079","","XP_002129028","7719.XP_002129028.1","XP_002129028.1",196,"39S ribosomal protein L11, mitochondrial-like; Belongs to the universal ribosomal protein uL11 family"
"2157","","ENSCING00000003133","ENSCINT00000006342","","XP_002129037","7719.XP_002129037.1","XP_002129037.1",568,"Protein disulfide-isomerase; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 465 ESTs, and 100% coverage of the annotated genomic feature by RNAseq alignments, including 1 sample with support for all annotated introns"
"2158","","ENSCING00000020354","ENSCINT00000002888","","XP_002129039","7719.XP_002129039.1","XP_002129039.1",245,"Cationic trypsin-like isoform X1; Belongs to the peptidase S1 family"
"2159","","ENSCING00000023421","ENSCINT00000030740","","XP_002129041","7719.XP_002129041.1","XP_002129041.1",100,"Uncharacterized protein LOC100177353"
"2160","","ENSCING00000009078","ENSCINT00000018429","","XP_002129042","7719.XP_002129042.1","XP_002129042.1",307,"Transcriptional adapter 1-like; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 36 ESTs, and 91% coverage of the annotated genomic feature by RNAseq alignments, including 4 samples with support for all annotated introns"
"2161","","ENSCING00000006522","ENSCINT00000013406","","XP_002129043","7719.XP_002129043.2","XP_002129043.2",367,"cAMP-dependent protein kinase catalytic subunit alpha isoform X1"
"2162","","ENSCING00000002626","ENSCINT00000005338","","XP_002129044","7719.XP_002129044.1","XP_002129044.1",181,"Uncharacterized protein LOC100183505; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 1 mRNA, 36 ESTs, and 97% coverage of the annotated genomic feature by RNAseq alignments, including 12 samples with support for all annotated introns"
"2163","","ENSCING00000007138","ENSCINT00000014668","","XP_002129046","7719.XP_002129046.1","XP_002129046.1",307,"Uncharacterized protein LOC100184814"
"2164","","ENSCING00000007665","ENSCINT00000015707","","XP_002129048","7719.XP_002129048.1","XP_002129048.1",201,"Uncharacterized protein LOC100186300"
"2165","","ENSCING00000020505","ENSCINT00000034978","","XP_002129052","7719.XP_002129052.1","XP_002129052.1",216,"Collectrin"
"2166","","ENSCING00000016714","ENSCINT00000029032","","XP_002129053","7719.XP_002129053.1","XP_002129053.1",219,"Uncharacterized protein LOC100179792"
"2167","","ENSCING00000014649","ENSCINT00000026624","","XP_002129054","7719.XP_002129054.1","XP_002129054.1",145,"Coiled-coil domain-containing protein 58-like isoform X1"
"2168","","ENSCING00000025009","ENSCINT00000033398","","XP_002129069","7719.XP_002129069.1","XP_002129069.1",94,"Centromere protein S-like; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 30 ESTs, 1 Protein, and 100% coverage of the annotated genomic feature by RNAseq alignments, including 17 samples with support for all annotated introns"
"2169","","ENSCING00000006087","ENSCINT00000012559","","XP_002129070","7719.XP_002129070.1","XP_002129070.1",370,"Transmembrane 6 superfamily member 1-like"
"2170","","ENSCING00000006960","ENSCINT00000014302","","XP_002129072","7719.XP_002129072.1","sec23ip",1033,"Phospholipase DDHD2"
"2171","","ENSCING00000020047","ENSCINT00000018136","","XP_002129080","7719.XP_002129080.1","XP_002129080.1",377,"Apoptosis-inducing factor 2"
"2172","","ENSCING00000022202","ENSCINT00000020009","","XP_002129084","7719.XP_002129084.1","XP_002129084.1",236,"Ribosomal RNA small subunit methyltransferase NEP1-like"
"2173","","ENSCING00000006150","ENSCINT00000012711","","XP_002129086","7719.XP_002129086.1","XP_002129086.1",181,"Uncharacterized protein LOC100183924"
"2174","","ENSCING00000009088","ENSCINT00000018439","","XP_002129093","7719.XP_002129093.1","XP_002129093.1",329,"Solute carrier family 25 member 40-like; Belongs to the mitochondrial carrier (TC 2.A.29) family"
"2175","","ENSCING00000001024","ENSCINT00000001904","","XP_002129097","7719.XP_002129097.1","XP_002129097.1",209,"Vesicle transport protein; May be involved in fusion of retrograde transport vesicles derived from an endocytic compartment with the Golgi complex"
"2176","","ENSCING00000009890","ENSCINT00000020010","","XP_002129099","7719.XP_002129099.1","XP_002129099.1",391,"Leucine-rich repeat and coiled-coil domain-containing protein 1-like"
"2177","","ENSCING00000006547","ENSCINT00000013446","","XP_002129100","7719.XP_002129100.1","XP_002129100.1",509,"26S proteasome non-ATPase regulatory subunit 5; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 2 mRNAs, 43 ESTs, 2 Proteins, and 99% coverage of the annotated genomic feature by RNAseq alignments, including 4 samples with support for all annotated introns"
"2178","","ENSCING00000009665","ENSCINT00000019652","","XP_002129101","7719.XP_002129101.1","XP_002129101.1",660,"Heat shock cognate 71 kDa protein isoform X1; Belongs to the heat shock protein 70 family"
"2179","","ENSCING00000005755","ENSCINT00000011886","","XP_002129102","7719.XP_002129102.1","XP_002129102.1",799,"Uncharacterized protein LOC100178511"
"2180","","ENSCING00000002766","ENSCINT00000005658","","XP_002129103","7719.XP_002129103.1","XP_002129103.1",152,"Ubiquitin-conjugating enzyme E2 W-like; Belongs to the ubiquitin-conjugating enzyme family"
"2181","","ENSCING00000009739","ENSCINT00000019776","","XP_002129104","7719.XP_002129104.1","XP_002129104.1",348,"Cyclic AMP receptor 3-like"
"2182","","ENSCING00000009630","ENSCINT00000019571","","XP_002129118","7719.XP_002129118.1","XP_002129118.1",330,"Mitotic checkpoint protein BUB3-like"
"2183","","ENSCING00000004338","ENSCINT00000008968","","XP_002129120","7719.XP_002129120.1","XP_002129120.1",344,"Centromere protein N-like"
"2184","","ENSCING00000002109","ENSCINT00000004280","","XP_002129131","7719.XP_002129131.2","XP_002129131.2",173,"U7 snRNA-associated Sm-like protein LSm11"
"2185","","ENSCING00000016699","ENSCINT00000029014","","XP_002129132","7719.XP_002129132.1","XP_002129132.1",454,"Protein DGCR14"
"2186","","ENSCING00000000221","ENSCINT00000000398","","XP_002129134","7719.XP_002129134.1","XP_002129134.1",110,"Protein PLANT CADMIUM RESISTANCE 2-like"
"2187","","ENSCING00000021534","ENSCINT00000033279","","XP_002129138","7719.XP_002129138.1","XP_002129138.1",183,"Uncharacterized protein LOC100179982"
"2188","","ENSCING00000013354","ENSCINT00000013140","","XP_002129142","7719.XP_002129142.1","XP_002129142.1",122,"Uncharacterized protein LOC100181964; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 16 ESTs, and 42% coverage of the annotated genomic feature by RNAseq alignments"
"2189","","ENSCING00000006720","ENSCINT00000013786","","XP_002129145","7719.XP_002129145.1","XP_002129145.1",217,"Cytochrome b5 domain-containing protein 1-like"
"2190","","ENSCING00000020808","ENSCINT00000033520","","XP_002129150","7719.XP_002129150.1","XP_002129150.1",444,"Monocarboxylate transporter 2-like"
"2191","","ENSCING00000008831","ENSCINT00000024955","","XP_002129152","7719.XP_002129152.2","ddx49",457,"Probable ATP-dependent RNA helicase DDX49; Belongs to the DEAD box helicase family"
"2192","","ENSCING00000016779","ENSCINT00000029107","","XP_002129153","7719.XP_002129153.1","XP_002129153.1",440,"Sulfide:quinone oxidoreductase, mitochondrial"
"2193","","ENSCING00000008783","ENSCINT00000017880","","XP_002129159","7719.XP_002129159.1","XP_002129159.1",527,"Ubiquilin-1; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 1 mRNA, 172 ESTs, 22 Proteins, and 100% coverage of the annotated genomic feature by RNAseq alignments, including 3 samples with support for all annotated introns"
"2194","","ENSCING00000000226","ENSCINT00000000410","","XP_002129161","7719.XP_002129161.1","XP_002129161.1",612,"Eukaryotic translation initiation factor 2D-like"
"2195","","ENSCING00000019936","ENSCINT00000037002","","XP_002129162","7719.XP_002129162.1","XP_002129162.1",169,"Mitochondrial fission process protein 1"
"2196","","ENSCING00000006707","ENSCINT00000013764","","XP_002129163","7719.XP_002129163.1","XP_002129163.1",507,"V-type proton ATPase subunit B"
"2197","","ENSCING00000001027","ENSCINT00000001917","","XP_002129164","7719.XP_002129164.1","XP_002129164.1",500,"Uncharacterized protein LOC100185619"
"2198","","ENSCING00000012346","ENSCINT00000023335","","XP_002129174","7719.XP_002129174.1","XP_002129174.1",504,"Protein Spindly-like"
"2199","","ENSCING00000006870","ENSCINT00000014082","","XP_002129182","7719.XP_002129182.1","XP_002129182.1",652,"Choline transporter-like protein 1; Belongs to the CTL (choline transporter-like) family"
"2200","","ENSCING00000007571","ENSCINT00000015512","","XP_002129188","7719.XP_002129188.1","XP_002129188.1",444,"Protein dcd1B"
"2201","","ENSCING00000023330","ENSCINT00000035992","","XP_002129190","7719.XP_002129190.1","XP_002129190.1",165,"Calcium channel flower homolog"
"2202","","ENSCING00000023255","ENSCINT00000035965","","XP_002129191","7719.XP_002129191.1","XP_002129191.1",422,"Adipocyte plasma membrane-associated protein-like"
"2203","","ENSCING00000004973","ENSCINT00000010235","","XP_002129192","7719.XP_002129192.1","XP_002129192.1",257,"5'-AMP-activated protein kinase subunit beta-1"
"2204","","ENSCING00000000627","ENSCINT00000001155","","XP_002129194","7719.XP_002129194.1","XP_002129194.1",151,"Calmodulin-like"
"2205","","ENSCING00000004910","ENSCINT00000010156","","XP_002129196","7719.XP_002129196.1","XP_002129196.1",356,"Neuronal-specific septin-3; Belongs to the TRAFAC class TrmE-Era-EngA-EngB-Septin- like GTPase superfamily. Septin GTPase family"
"2206","","ENSCING00000006209","ENSCINT00000012810","","XP_002129199","7719.XP_002129199.2","XP_002129199.2",642,"Uncharacterized protein LOC100186110"
"2207","","ENSCING00000006685","ENSCINT00000013719","","XP_002129203","7719.XP_002129203.2","XP_002129203.2",388,"LETM1 domain-containing protein 1-like"
"2208","","ENSCING00000024373","ENSCINT00000035573","","XP_002129205","7719.XP_002129205.1","XP_002129205.1",215,"Uncharacterized protein LOC100182535 isoform X1"
"2209","","ENSCING00000008363","ENSCINT00000017059","","XP_002129209","7719.XP_002129209.1","XP_002129209.1",391,"Transmembrane protease serine 12; Belongs to the peptidase S1 family"
"2210","","ENSCING00000006911","ENSCINT00000014202","","XP_002129216","7719.XP_002129216.2","XP_002129216.2",664,"CCR4-NOT transcription complex subunit 6-like"
"2211","","ENSCING00000006233","ENSCINT00000012845","","XP_002129217","7719.XP_002129217.1","XP_002129217.1",155,"Calglandulin-like"
"2212","","ENSCING00000001795","ENSCINT00000003623","","XP_002129221","7719.XP_002129221.1","XP_002129221.1",333,"LIM domain-binding protein 3-like"
"2213","","ENSCING00000001124","ENSCINT00000002121","","XP_002129224","7719.XP_002129224.1","XP_002129224.1",578,"Negative elongation factor C/D"
"2214","","ENSCING00000022576","ENSCINT00000033084","","XP_002129225","7719.XP_002129225.1","XP_002129225.1",108,"Uncharacterized protein LOC100181000"
"2215","","ENSCING00000005881","ENSCINT00000012144","","XP_002129227","7719.XP_002129227.1","XP_002129227.1",550,"Ufm1-specific protease 2"
"2216","","ENSCING00000008924","ENSCINT00000018138","","XP_002129231","7719.XP_002129231.1","XP_002129231.1",393,"Monoacylglycerol lipase ABHD2-like; Abhydrolase domain-containing protein 2-like"
"2217","","ENSCING00000002098","ENSCINT00000004270","","XP_002129232","7719.XP_002129232.1","XP_002129232.1",296,"Na(+)/H(+) exchange regulatory cofactor NHE-RF1"
"2218","","ENSCING00000020482","ENSCINT00000031344","","XP_002129233","7719.XP_002129233.1","tubg1",451,"Tubulin gamma chain; Tubulin is the major constituent of microtubules. The gamma chain is found at microtubule organizing centers (MTOC) such as the spindle poles or the centrosome"
"2219","","ENSCING00000002580","ENSCINT00000005256","","XP_002129234","7719.XP_002129234.1","zf(parp)-2",854,"DNA ligase 3"
"2220","","ENSCING00000019805","ENSCINT00000002814","","XP_002129236","7719.XP_002129236.1","XP_002129236.1",543,"T-complex protein 1 subunit gamma; Molecular chaperone; assists the folding of proteins upon ATP hydrolysis"
"2221","","ENSCING00000023716","ENSCINT00000035647","","XP_002129238","7719.XP_002129238.1","XP_002129238.1",217,"Programmed cell death protein 10"
"2222","","ENSCING00000021101","ENSCINT00000031909","","XP_002129243","7719.XP_002129243.1","XP_002129243.1",172,"Protein tyrosine phosphatase type IVA 3; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 1 mRNA, 188 ESTs, 40 Proteins, and 100% coverage of the annotated genomic feature by RNAseq alignments, including 5 samples with support for all annotated introns"
"2223","","ENSCING00000005003","ENSCINT00000010313","","XP_002129244","7719.XP_002129244.1","XP_002129244.1",260,"40S ribosomal protein S3; Belongs to the universal ribosomal protein uS3 family"
"2224","","ENSCING00000011310","ENSCINT00000021926","","XP_002129249","7719.XP_002129249.1","XP_002129249.1",180,"Uncharacterized protein LOC100175291"
"2225","","ENSCING00000002092","ENSCINT00000004246","","XP_002129250","7719.XP_002129250.1","XP_002129250.1",399,"Cystinosin-like"
"2226","","ENSCING00000000634","ENSCINT00000001160","","XP_002129252","7719.XP_002129252.1","XP_002129252.1",232,"Putative ferric-chelate reductase 1"
"2227","","ENSCING00000004907","ENSCINT00000010125","","XP_002129253","7719.XP_002129253.1","XP_002129253.1",307,"Serine/threonine-protein phosphatase 4 catalytic subunit"
"2228","","ENSCING00000019222","ENSCINT00000035378","","XP_002129255","7719.XP_002129255.1","XP_002129255.1",725,"Uncharacterized protein LOC100186070; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 1 mRNA, 118 ESTs, and 99% coverage of the annotated genomic feature by RNAseq alignments, including 2 samples with support for all annotated introns"
"2229","","ENSCING00000009091","ENSCINT00000018444","","XP_002129256","7719.XP_002129256.1","XP_002129256.1",291,"Protein SCO1 homolog, mitochondrial-like"
"2230","","ENSCING00000010133","ENSCINT00000020253","","XP_002129263","7719.XP_002129263.1","XP_002129263.1",358,"GDP-D-glucose phosphorylase 1"
"2231","","ENSCING00000015381","ENSCINT00000027555","","XP_002129265","7719.XP_002129265.1","XP_002129265.1",116,"ATP synthase subunit f, mitochondrial"
"2232","","ENSCING00000014433","ENSCINT00000026359","","XP_002129266","7719.XP_002129266.1","XP_002129266.1",216,"Uncharacterized protein LOC100175468; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 17 ESTs, and 100% coverage of the annotated genomic feature by RNAseq alignments, including 1 sample with support for all annotated introns"
"2233","","ENSCING00000003258","ENSCINT00000006686","","XP_002129267","7719.XP_002129267.1","XP_002129267.1",149,"Uncharacterized protein C10orf35 homolog"
"2234","","ENSCING00000014757","ENSCINT00000017535","","XP_002129270","7719.XP_002129270.1","spag16",606,"Sperm-associated antigen 16 protein"
"2235","","ENSCING00000012347","ENSCINT00000023338","","XP_002129273","7719.XP_002129273.1","XP_002129273.1",586,"Autophagy-related protein 16-1"
"2236","","ENSCING00000004346","ENSCINT00000008982","","XP_002129276","7719.XP_002129276.1","XP_002129276.1",243,"Activator of basal transcription 1"
"2237","","ENSCING00000005113","ENSCINT00000010550","","XP_002129278","7719.XP_002129278.1","XP_002129278.1",608,"tyrosine--tRNA ligase, cytoplasmic"
"2238","","ENSCING00000020384","ENSCINT00000030820","","XP_002129279","7719.XP_002129279.1","XP_002129279.1",151,"Profilin-4-like isoform X1; Belongs to the profilin family"
"2239","","ENSCING00000009201","ENSCINT00000018706","","XP_002129285","7719.XP_002129285.1","XP_002129285.1",504,"Cytochrome P450 2J6-like"
"2240","","ENSCING00000004975","ENSCINT00000010238","","XP_002129288","7719.XP_002129288.2","XP_002129288.2",530,"Uncharacterized protein LOC100187055"
"2241","","ENSCING00000020786","ENSCINT00000036975","","XP_002129289","7719.XP_002129289.1","XP_002129289.1",126,"Uncharacterized protein KIAA1644 homolog"
"2242","","ENSCING00000019420","ENSCINT00000032879","","XP_002129291","7719.XP_002129291.1","XP_002129291.1",121,"UPF0449 protein C19orf25 homolog"
"2243","","ENSCING00000008832","ENSCINT00000017986","","XP_002129294","7719.XP_002129294.1","LOC778840",684,"Dynein intermediate chain 2, ciliary"
"2244","","ENSCING00000014059","ENSCINT00000025814","","XP_002129295","7719.XP_002129295.1","XP_002129295.1",653,"Fibronectin isoform X1"
"2245","","ENSCING00000024482","ENSCINT00000032180","","XP_002129297","7719.XP_002129297.1","XP_002129297.1",140,"Uncharacterized protein LOC100185703"
"2246","","ENSCING00000003177","ENSCINT00000006478","","XP_002129305","7719.XP_002129305.1","XP_002129305.1",429,"Group XV phospholipase A2-like"
"2247","","ENSCING00000006132","ENSCINT00000012690","","XP_002129309","7719.XP_002129309.2","XP_002129309.2",258,"Defective in cullin neddylation protein; Neddylation of cullins play an essential role in the regulation of SCF-type complexes activity"
"2248","","ENSCING00000024551","ENSCINT00000037132","","XP_002129311","7719.XP_002129311.1","XP_002129311.1",108,"Uncharacterized protein LOC100176726"
"2249","","ENSCING00000009062","ENSCINT00000018388","","XP_002129315","7719.XP_002129315.1","XP_002129315.1",510,"tRNA pseudouridine(38/39) synthase"
"2250","","ENSCING00000020755","ENSCINT00000031554","","XP_002129316","7719.XP_002129316.1","XP_002129316.1",102,"10 kDa heat shock protein, mitochondrial-like; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 160 ESTs, 22 Proteins, and 92% coverage of the annotated genomic feature by RNAseq alignments; Belongs to the GroES chaperonin family"
"2251","","ENSCING00000009089","ENSCINT00000018441","","XP_002129317","7719.XP_002129317.1","XP_002129317.1",402,"Serpin A3-5; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 1 mRNA, 44 ESTs, and 100% coverage of the annotated genomic feature by RNAseq alignments, including 8 samples with support for all annotated introns; Belongs to the serpin family"
"2252","","ENSCING00000013166","ENSCINT00000024522","","XP_002129320","7719.XP_002129320.1","XP_002129320.1",272,"Uncharacterized protein LOC100183761"
"2253","","ENSCING00000001092","ENSCINT00000002051","","XP_002129323","7719.XP_002129323.3","XP_002129323.3",476,"Kielin/chordin-like protein"
"2254","","ENSCING00000001794","ENSCINT00000003618","","XP_002129327","7719.XP_002129327.1","XP_002129327.1",777,"Uncharacterized protein LOC100179999"
"2255","","ENSCING00000004647","ENSCINT00000009612","","XP_002129333","7719.XP_002129333.1","XP_002129333.1",224,"Williams-Beuren syndrome chromosomal region 27 protein-like; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 6 ESTs, and 99% coverage of the annotated genomic feature by RNAseq alignments, including 3 samples with support for all annotated introns"
"2256","","ENSCING00000022131","ENSCINT00000031183","","XP_002129338","7719.XP_002129338.1","XP_002129338.1",184,"Chromobox protein homolog 1-like"
"2257","","ENSCING00000018711","ENSCINT00000007962","","XP_002129339","7719.XP_002129339.1","XP_002129339.1",148,"Ubiquitin-conjugating enzyme E2-17 kDa; Belongs to the ubiquitin-conjugating enzyme family"
"2258","","ENSCING00000002504","ENSCINT00000005103","","XP_002129342","7719.XP_002129342.1","XP_002129342.1",578,"Eukaryotic translation initiation factor 2A; Functions in the early steps of protein synthesis of a small number of specific mRNAs. Acts by directing the binding of methionyl-tRNAi to 40S ribosomal subunits. In contrast to the eIF- 2 complex, it binds methionyl-tRNAi to 40 S subunits in a codon- dependent manner, whereas the eIF-2 complex binds methionyl-tRNAi to 40 S subunits in a GTP-dependent manner. May act by impiging the expression of specific proteins"
"2259","","ENSCING00000016622","ENSCINT00000028933","","XP_002129343","7719.XP_002129343.1","XP_002129343.1",158,"Uncharacterized protein LOC100177297"
"2260","","ENSCING00000000429","ENSCINT00000000792","","XP_002129346","7719.XP_002129346.1","XP_002129346.1",516,"Major facilitator superfamily domain-containing protein 1 isoform X1"
"2261","","ENSCING00000012913","ENSCINT00000013347","","XP_002129348","7719.XP_002129348.1","XP_002129348.1",598,"Hyccin"
"2262","","ENSCING00000007345","ENSCINT00000015087","","XP_002129350","7719.XP_002129350.1","XP_002129350.1",276,"Methyltransferase-like protein 6 isoform X1; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 62 ESTs, 18 Proteins, and 100% coverage of the annotated genomic feature by RNAseq alignments, including 8 samples with support for all annotated introns"
"2263","","ENSCING00000023839","ENSCINT00000037022","","XP_002129362","7719.XP_002129362.1","XP_002129362.1",161,"RING finger protein 24"
"2264","","ENSCING00000014676","ENSCINT00000026658","","XP_002129366","7719.XP_002129366.2","XP_002129366.2",445,"Mitochondrial enolase superfamily member 1"
